1 7015.67 1
2 4179.3 1.67867
3 3142.49 2.23252
4 2880.82 2.4353
5 1763.51 3.97824
6 1987.87 3.52924
7 1765.65 3.97342
8 1881.4 3.72896
9 2045.6 3.42964
10 2043.42 3.4333
11 1952.78 3.59266
12 1974.15 3.55377
13 2081.89 3.36986
14 2148 3.26614
15 2152.05 3.25999
16 2084.67 3.36536
17 2139.43 3.27922
18 2082.15 3.36944
19 2083.43 3.36737
20 2136.53 3.28367
21 2084.7 3.36531
22 2086.11 3.36304
23 2093.08 3.35184
24 2083.31 3.36756
25 2083.5 3.36725
26 2088.41 3.35934
27 2085.05 3.36475
28 2085.53 3.36397
29 2172.12 3.22987
30 2119.46 3.31012
31 1979.34 3.54445
32 2091.99 3.35359
33 2140.3 3.27789
34 2200.34 3.18845
35 2084.95 3.36491
36 2086.58 3.36228
37 2085.18 3.36454
38 2085.59 3.36388
39 2083.54 3.36719
40 2086.8 3.36193
41 2086.49 3.36243
42 2084.85 3.36507
43 2087.19 3.3613
44 2084.87 3.36504
45 2084.61 3.36546
46 2124.55 3.30219
47 2087.58 3.36067
48 2087.07 3.36149
49 2081.45 3.37057
50 2083.54 3.36719
51 2083.33 3.36753
52 2085.96 3.36328
53 2084.35 3.36588
54 2083.21 3.36772
55 2084.41 3.36578
56 2083.05 3.36798
57 2085.12 3.36464
58 2095.18 3.34848
59 2088.64 3.35897
60 2086.62 3.36222
61 2081.81 3.36999
62 2084.33 3.36591
63 2089.12 3.35819
64 2084.71 3.3653
