300000 & 0	&  & 300040 & 7		\\
300001 & 1	&  & 300041 & 0		\\
300002 & 0	&  & 300042 & 13	\\
300003 & 1	&  & 300043 & 1		\\
300004 & 0	&  & 300044 & 0		\\
300005 & 1	&  & 300045 & 4		\\
300006 & 3	&  & 300046 & 1		\\
300007 & 0	&  & 300047 & 0		\\
300008 & 2	&  & 300048 & 44	\\
300009 & 0	&  & 300049 & 0		\\
300010 & 2	&  & 300050 & 20	\\
300011 & 1	&  & 300051 & 0		\\
300012 & 1	&  & 300052 & 0		\\
300013 & 0	&  & 300053 & 1		\\
300014 & 6	&  & 300054 & 4		\\
300015 & 8	&  & 300055 & 0		\\
300016 & 4	&  & 300056 & 0		\\
300017 & 0	&  & 300057 & 0		\\
300018 & 1	&  & 300058 & 10	\\
300019 & 0	&  & 300059 & 0		\\
300020 & 0	&  & 300060 & 4		\\
300021 & 3	&  & 300061 & 1		\\
300022 & 2	&  & 300062 & 2		\\
300023 & 1	&  & 300063 & 2		\\
300024 & 6	&  & 300064 & 0		\\
300025 & 5	&  & 300065 & 0		\\
300026 & 2	&  & 300066 & 6		\\
300027 & 15 &  & 300067 & 0		\\
300028 & 0	&  & 300068 & 1		\\
300029 & 0	&  & 300069 & 12	\\
300030 & 25 &  & 300070 & 3		\\
300031 & 0	&  & 300071 & 1		\\
300032 & 0	&  & 300072 & 1		\\
300033 & 14 &  & 300073 & 0		\\
300034 & 8	&  & 300074 & 3		\\
300035 & 0	&  & 300075 & 15	\\
300036 & 0	&  & 300076 & 8		\\
300037 & 0	&  & 300077 & 0		\\
300038 & 0	&  & 300078 & 0		\\
300039 & 0	&  & 300079 & 0		\\
       &    &  & 300080 & 66	\\
