Verbose? (0/1) 
Enter first and last N: 
>>> Level 120 <<< 2 newform(s), 25 eigs on file.
>>> Level 121 <<< 4 newform(s), 25 eigs on file.
>>> Level 122 <<< 1 newform(s), 25 eigs on file.
>>> Level 123 <<< 2 newform(s), 25 eigs on file.
>>> Level 124 <<< 2 newform(s), 25 eigs on file.
>>> Level 125 <<< 0 newform(s), 0 eigs on file.
>>> Level 126 <<< 2 newform(s), 25 eigs on file.
>>> Level 127 <<< 0 newform(s), 0 eigs on file.
>>> Level 128 <<< 4 newform(s), 25 eigs on file.
>>> Level 129 <<< 2 newform(s), 25 eigs on file.
>>> Level 130 <<< 3 newform(s), 25 eigs on file.
>>> Level 131 <<< 1 newform(s), 25 eigs on file.
>>> Level 132 <<< 2 newform(s), 25 eigs on file.
>>> Level 133 <<< 0 newform(s), 0 eigs on file.
>>> Level 134 <<< 0 newform(s), 0 eigs on file.
>>> Level 135 <<< 2 newform(s), 25 eigs on file.
>>> Level 136 <<< 2 newform(s), 25 eigs on file.
>>> Level 137 <<< 0 newform(s), 0 eigs on file.
>>> Level 138 <<< 3 newform(s), 25 eigs on file.
>>> Level 139 <<< 1 newform(s), 25 eigs on file.
>>> Level 140 <<< 2 newform(s), 25 eigs on file.
>>> Level 141 <<< 5 newform(s), 25 eigs on file.
>>> Level 142 <<< 5 newform(s), 25 eigs on file.
>>> Level 143 <<< 1 newform(s), 25 eigs on file.
>>> Level 144 <<< 2 newform(s), 25 eigs on file.
>>> Level 145 <<< 1 newform(s), 25 eigs on file.
>>> Level 146 <<< 0 newform(s), 0 eigs on file.
>>> Level 147 <<< 3 newform(s), 25 eigs on file.
>>> Level 148 <<< 1 newform(s), 25 eigs on file.
>>> Level 149 <<< 0 newform(s), 0 eigs on file.
>>> Level 150 <<< 3 newform(s), 25 eigs on file.
>>> Level 151 <<< 0 newform(s), 0 eigs on file.
>>> Level 152 <<< 2 newform(s), 25 eigs on file.
>>> Level 153 <<< 4 newform(s), 25 eigs on file.
>>> Level 154 <<< 3 newform(s), 25 eigs on file.
>>> Level 155 <<< 3 newform(s), 25 eigs on file.
>>> Level 156 <<< 2 newform(s), 25 eigs on file.
>>> Level 157 <<< 0 newform(s), 0 eigs on file.
>>> Level 158 <<< 5 newform(s), 25 eigs on file.
>>> Level 159 <<< 0 newform(s), 0 eigs on file.
>>> Level 160 <<< 2 newform(s), 25 eigs on file.
>>> Level 161 <<< 1 newform(s), 25 eigs on file.
>>> Level 162 <<< 4 newform(s), 25 eigs on file.
>>> Level 163 <<< 1 newform(s), 25 eigs on file.
