Level 57471 createfromscratch (263.33 seconds)	
Level 57472 createfromscratch (483.446 seconds)	
Level 57473 createfromscratch (142.653 seconds)	
Level 57474 createfromscratch (482.081 seconds)	
Level 57475 createfromscratch (308.916 seconds)	
Level 57476 createfromscratch (427.136 seconds)	
Level 57477 createfromscratch (578.184 seconds)	
Level 57478 createfromscratch (421.489 seconds)	
Level 57479 createfromscratch (161.461 seconds)	
Level 57480 createfromscratch (376.67 seconds)	
Level 57481 createfromscratch (145.932 seconds)	
Level 57482 createfromscratch (440.088 seconds)	
Level 57483 createfromscratch (267.367 seconds)	
Level 57484 createfromscratch (540.031 seconds)	
Level 57485 createfromscratch (186.804 seconds)	
Level 57486 createfromscratch (652.157 seconds)	
Level 57487 createfromscratch (117.198 seconds)	
Level 57488 createfromscratch (456.793 seconds)	
Level 57489 createfromscratch (244.316 seconds)	
Level 57490 createfromscratch (604.828 seconds)	
Level 57491 createfromscratch (204.445 seconds)	
Level 57492 createfromscratch (468.811 seconds)	
Level 57493 createfromscratch (134.187 seconds)	
Level 57494 createfromscratch (509.878 seconds)	
Level 57495 createfromscratch (374.469 seconds)	
Level 57496 createfromscratch (440.247 seconds)	
Level 57497 createfromscratch (152.729 seconds)	
Level 57498 createfromscratch (680.981 seconds)	
Level 57499 createfromscratch (142.809 seconds)	
Level 57500 createfromscratch (737.114 seconds)	
Level 57501 createfromscratch (278.179 seconds)	
Level 57502 createfromscratch (415.851 seconds)	
Level 57503 createfromscratch (116.539 seconds)	
Level 57504 createfromscratch (464.87 seconds)	
Level 57505 createfromscratch (343.067 seconds)	
Level 57506 createfromscratch (401.308 seconds)	
Level 57507 createfromscratch (299.306 seconds)	
Level 57508 createfromscratch (490.715 seconds)	
Level 57509 createfromscratch (159.4 seconds)	
Level 57510 createfromscratch (964.17 seconds)	
Level 57511 createfromscratch (174.018 seconds)	
Level 57512 createfromscratch (737.844 seconds)	
Level 57513 createfromscratch (306.009 seconds)	
Level 57514 createfromscratch (415.387 seconds)	
Level 57515 createfromscratch (178.433 seconds)	
Level 57516 createfromscratch (469.241 seconds)	
Level 57517 createfromscratch (148.515 seconds)	
Level 57518 createfromscratch (392.625 seconds)	
Level 57519 createfromscratch (518.534 seconds)	
Level 57520 createfromscratch (679.667 seconds)	
Level 57521 createfromscratch (153.036 seconds)	
Level 57522 createfromscratch (523.349 seconds)	
Level 57523 createfromscratch (175.948 seconds)	
Level 57524 createfromscratch (417.978 seconds)	
Level 57525 createfromscratch (539.211 seconds)	
Level 57526 createfromscratch (599.745 seconds)	
Level 57527 createfromscratch (114.669 seconds)	
Level 57528 createfromscratch (639.335 seconds)	
Level 57529 createfromscratch (144.145 seconds)	
Level 57530 createfromscratch (719.252 seconds)	
Level 57531 createfromscratch (298.816 seconds)	
Level 57532 createfromscratch (449.733 seconds)	
